"tic","invest"
"PLLMF",1094.94
"PLUUF",1094.8
"PMC",1100.74
"PNNT",1093.5
"PODD",1146.07
"POETF",1095.4
"POLMF",1096.15
"POST",1008.42
"PRCB",1092.85
"PRIM",1113.23
"PRO",1093.05
"PRRSF",1095.35
"PRRWF",1099.31
"PRTS",1086.69
"PSHIF",1097.31
"PSID",1095.11
"PSPGF",1094.91
"PSRU",1094.98
"PSTB",1090.7
"PSX",1103.08
"PTCI",1096.4
"PTCT",1123.05
"PTOAF.",1094.64
"PTOI",1095.1
"PTSRF",1094.66
"PTVYF",1094.96
"PUGB",1082.92
"PUMGF",1095.08
"PWSEF",1094.14
"PZN",1087.09
"PZRIF",1087.27
"QNTO",1093.95
"QRMLF",1094.27
"QSR",1083.91
"QVCA",1072.48
"RAIL",1098.71
"RAMPF",1134.7
"RBCN",1094.96
"RBMNF",1095.69
"RCKXF",1097.24
"RCZRF",1093.46
"RDLCF",1092.72
"RDUS",1165.52
"REAC",1088.28
"REED",1106.3
"REI",1083.64
"REXX",1095.25
"RGSE",1089.25
"RHE",1098.6
"RHNO",1080.59
"RILY",1099.9
"RIT.",1088.77
"RLGT",1093.9
"RLGY",1105.85
"RLLRF",1094.89
"RLOG",1093.47
"RNN",1095.23
"ROIC",1089.4
"ROLL",1068.85
"ROSG",1094.34
"ROX",1096.36
"ROYE",1084.51
"RPAI",1091.74
"RPMGD",1093.36
"RRENF",1091.48
"RSCZF",1094.98
"RSLS",1092.98
"RSO",1096.63
"RUTH",1086.71
"RXII",1087.44
"RYOOF",1095.47
"SAENF",1094.96
"SAHRF",1095.07
"SAND",1094.56
"SAR",1085.91
"SATS",1105.38
"SBC.",1091.04
"SBFM",1094.98
"SBH",1087.22
"SBLK",1091.08
"SBN.",1095.17
"SBNY",1030.99
"SCGY",1094.98
"SCMP",1095.61
"SCUPF",1097.43
"SD",1046.57
"SEM",1106.76
"SEP",1075.61
"SFBC",1082.78
"SFL",1089.78
"SFLY",1069.82
"SGBK",1071.36
"SGGDF",1095.3
"SGOZF",1095.02
"SGSIF",1094.89
"SGYP",1095.6
"SHCMF",1094.88
"SHIP",1103.89
"SHOR",1103.2
"SIFI",1091.1
"SIMO",1089.91
"SIR",1087.84
"SIRZF",1092.25
"SLDGF",1096.02
"SLSDF",1095.04
"SMCI",1110.06
"SMME",1095.06
"SMREF",1095.5
"SNIPF",1095.34
"SNMP",1093.29
"SNNGF",1095.24
"SNOA",1083.23
"SNSS",1109.91
"SNVNF",1099.62
"SOACF",1096.14
"SOHO",1088.08
"SONA",1089
"SPAB",1088.58
"SPCB",1093.92
"SPEM",1109.41
"SPGUF",1095.01
"SPLG",1084.01
"SPLK",1110.04
"SPMD",1080.82
"SPR",1074.94
"SPTL",1087.16
"SPWR",1099.18
"SQBG",1095.18
"SQIDF",1094.81
"SRBCF",1094.9
"SRCI",1094.99
"SSBI",1088.06
"SSKN",1096.01
"SSNT",1094.79
"SSW",1115.34
"STB",1097.9
"STML",1101.14
"STVVY",1096.12
"SUME",1095.11
